82,el nombre completo de quique gonzales ordoñez,4,clientes/4/Primera/yaran/jonathan/el nombre completo de quique gonzales ordoñez y erick alejandro,1,clientes/4/Primera/yaran/jonathan,29/04/2014 15:01
83,jonathan yaran ramos vazquez adan cruz huerta,4,clientes/4/Primera/yaran/jonathan/el nombre completo de quique gonzales ordoñez y erick alejandro/jonathan yaran ramos vazquez adan cruz huerta erick alejandro sandoval flores ,1,clientes/4/Primera/yaran/jonathan/el nombre completo de quique gonzales ordoñez y erick alejandro,29/04/2014 15:03
84,16,16,clientes/16,1,clientes/,29/04/2014 15:05
85,yaran/ramos/vazquez,4,clientes/4/Tercera/yaran/ramos/vazquez,1,clientes/4/Tercera,29/04/2014 15:09
86,yaran-ramos-vazquez,4,clientes/4/Tercera/yaran-ramos-vazquez,1,clientes/4/Tercera,29/04/2014 15:10
87,yaran:ramos:vazquez,4,clientes/4/Tercera/yaran:ramos:vazquez,1,clientes/4/Tercera,29/04/2014 15:11
91,17,17,clientes/17,1,clientes/,29/04/2014 16:59
92,Rocasa-LAU-06-007-2011,11,clientes/11/Rocasa-LAU-06-007-2011,1,clientes/11,29/04/2014 19:34
93,Evidencias de cumplimiento 2011,11,clientes/11/Rocasa-LAU-06-007-2011/Evidencias de cumplimiento 2011,1,clientes/11/Rocasa-LAU-06-007-2011,29/04/2014 19:36
94,Evidencias de cumplimiento 2012,11,clientes/11/Rocasa-LAU-06-007-2011/Evidencias de cumplimiento 2012,1,clientes/11/Rocasa-LAU-06-007-2011,29/04/2014 19:36
95,Evidencias de cumplimiento 2013,11,clientes/11/Rocasa-LAU-06-007-2011/Evidencias de cumplimiento 2013,1,clientes/11/Rocasa-LAU-06-007-2011,29/04/2014 19:36
96,Evidencias de cumplimiento 2014,11,clientes/11/Rocasa-LAU-06-007-2011/Evidencias de cumplimiento 2014,1,clientes/11/Rocasa-LAU-06-007-2011,29/04/2014 19:37
97,Autorizacion en MIA,11,clientes/11/Autorizacion en MIA,1,clientes/11,29/04/2014 19:39
98,Documentos oficiales,11,clientes/11/Documentos oficiales,1,clientes/11,29/04/2014 19:40
99,En Materia de Residuos Peligrosos,11,clientes/11/En Materia de Residuos Peligrosos,1,clientes/11,29/04/2014 19:40
100,18,18,clientes/18,1,clientes/,23/05/2014 22:44
101,Residuos Peligrosos,18,clientes/18/Residuos Peligrosos/,1,clientes/18,23/05/2014 22:44
102,19,19,clientes/19,1,clientes/,03/06/2014 23:07
103,LAU,19,clientes/19/LAU,1,clientes/19,03/06/2014 23:08
105,Evidencias de cumplimiento 2013,19,clientes/19/LAU/Evidencias de cumplimiento 2013,1,clientes/19/LAU,03/06/2014 23:31
106,20,20,clientes/20,1,clientes/,03/06/2014 23:41
107,Licencia Local de Funcionamiento Ambiental,20,clientes/20/Licencia Local de Funcionamiento Ambiental,1,clientes/20,03/06/2014 23:41
108,En Materia de Residuos Peligrosos,20,clientes/20/En Materia de Residuos Peligrosos,1,clientes/20,03/06/2014 23:42
