86,Sólidos impregnados con pintura,SO4,40,Kg,Toxico ,Mantenimiento,15/07/2013,02/08/2013,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,José Antonio López González,1,11/06/2014 16:56,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,43
87,Sólidos impregnados con sustancias químicas,SO4,8,Kg,Toxico ,Mantenimiento,10/07/2013,02/08/2013,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,José Antonio López González,1,11/06/2014 16:57,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,43
88,Sólidos impregnados con pintura,SO4,30,Kg,Toxico ,Mantenimiento,08/07/2013,02/08/2013,Formulación de combustibles alternos,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,José Antonio López Gonzáles,1,09/06/2014 02:49,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,
89,Sólidos impregnados con sustancias químicas,SO4,60,Kg,Toxico Inflamable ,Mantenimiento,19/07/2013,02/08/2013,Formulación de combustibles alternos,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,José Antonio López Gonzáles,1,09/06/2014 02:53,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,43
90,Telas o pieles impregnadas de residuos peligrosos,SO1,40,Kg,Toxico Inflamable ,Mantenimiento,27/07/2013,02/08/2013,Formulación de combustibles alternos,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,José Antonio López Gonzáles,1,09/06/2014 02:54,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,43
91,Sólidos impregnados con sustancias químicas,SO4,10,Kg,Toxico ,Mantenimiento,05/07/2013,02/08/2013,Formulación de combustibles alternos,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,José Antonio López Gonzáles,1,09/06/2014 02:56,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,43
92,Acumuladores de vehículos automotrices conteniendo plomo,RPM/04,25,Kg,Toxico ,Mantenimiento,01/08/2013,02/08/2013,Confinamiento controlado,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,José Antonio López Gonzáles,1,09/06/2014 03:18,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,43
93,Baterías eléctricas a base de mercurio o de níquel-cadmio,RPM/05,10,Kg,Toxico ,Mantenimiento,08/07/2013,02/08/2013,Confinamiento controlado,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,José Antonio López Gonzáles,1,09/06/2014 03:19,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,43
94,Sólidos impregnados con sustancias químicas,SO4,300,Kg,Toxico ,Mantenimiento,18/11/2013,25/11/2013,Formulación de combustibles alternos,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,09/06/2014 04:00,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,56
95,Sólidos impregnados con pintura,SO4,27,Kg,Toxico ,Mantenimiento,09/11/2013,25/11/2013,Formulación de combustibles alternos,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,09/06/2014 04:01,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,56
96,Sólidos impregnados con sustancias químicas,SO4,10,Kg,Toxico ,Mantenimiento,14/11/2013,25/11/2013,Formulación de combustibles alternos,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,09/06/2014 04:03,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,56
97,Telas o pieles impregnadas de residuos peligrosos,SO1,40,Kg,Toxico Inflamable ,Mantenimiento,12/11/2013,25/11/2013,Formulación de combustibles alternos,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,09/06/2014 04:05,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,56
98,Sólidos impregnados con sustancias químicas,SO4,5,Kg,Toxico ,Mantenimiento,22/10/2013,25/11/2013,Formulación de combustibles alternos,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,09/06/2014 04:06,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,56
99,Aceites lubricantes usados,RPM/01,3,Kg,Toxico Inflamable ,Mantenimiento,19/11/2013,25/11/2013,Formulación de combustibles alternos,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,09/06/2014 04:08,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,56
100,Sustancias corrosivas  álcalis,C2,400,Kg,Toxico ,Mantenimiento,03/01/2014,23/01/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,09/06/2014 04:10,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,59
101,Sólidos impregnados con sustancias químicas,SO4,30,Kg,Toxico Inflamable ,Mantenimiento,09/07/2013,02/08/2013,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,José Antonio López González,1,11/06/2014 17:02,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,43
102,Sólidos impregnados con sustancias químicas,SO4,60,Kg,Toxico Inflamable ,Mantenimiento,24/07/2013,02/08/2013,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,José Antonio López González,1,11/06/2014 17:04,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,43
103,Telas o pieles impregnadas de residuos peligrosos,SO1,40,Kg,Toxico Inflamable ,Mantenimiento,17/07/2013,02/08/2013,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,José Antonio López González,1,11/06/2014 17:05,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,43
104,Sólidos impregnados con sustancias químicas,SO4,10,Kg,Toxico Corrosivo ,Mantenimiento,01/08/2013,02/08/2013,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,José Antonio López González,1,11/06/2014 17:06,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,43
105,Acumuladores de vehículos automotrices conteniendo plomo ,RPM/04,25,Kg,Toxico ,Mantenimiento,09/07/2013,02/08/2013,Recuperación de materiales,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,José Antonio López González,1,11/06/2014 17:08,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,43
106,Baterías eléctricas a base de mercurio o de níquel-cadmio,RPM/05,10,Kg,Toxico ,Mantenimiento,25/07/2013,02/08/2013,Confinamiento controlado,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,José Antonio López González,1,11/06/2014 17:10,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,43
107,Sólidos impregnados con sustancias químicas,SO4,300,Kg,Toxico ,Mantenimiento,14/11/2013,25/11/2013,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,11/06/2014 17:12,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,56
108,Sólidos impregnados con pintura,SO4,27,Kg,Toxico ,Mantenimiento,02/11/2013,25/11/2013,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,11/06/2014 17:13,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,56
109,Sólidos impregnados con sustancias químicas,SO4,10,Kg,Toxico ,Mantenimiento,29/10/2013,25/11/2013,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,11/06/2014 17:15,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,56
110,Telas o pieles impregnadas de residuos peligrosos,SO1,40,Kg,Toxico Inflamable ,Mantenimiento,06/11/2013,25/11/2013,Formulación de combustibles alternos,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,11/06/2014 17:16,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,56
111,Sólidos impregnados con sustancias químicas,SO4,5,Kg,Toxico Reactivo ,Laboratorio,13/11/2013,25/11/2013,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,11/06/2014 17:18,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,56
112,Aceites lubricantes usados,RPM/01,2,Kg,Toxico ,Mantenimiento,09/06/2014,0000-00-00,,,,,1,10/06/2014 02:07,,,
113,Aceites lubricantes usados,RPM/01,3,Kg,Toxico Inflamable ,Mantenimiento,25/11/2013,25/11/2013,Formulación de combustibles alternos,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,11/06/2014 17:19,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,56
114,Sustancias corrosivas  álcalis,C2,400,Kg,Toxico ,Mantenimiento,14/01/2014,23/01/2014,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,11/06/2014 17:26,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,59
115,Sólidos impregnados con sustancias químicas,SO4,50,Kg,Toxico ,Mantenimiento,12/01/2014,23/01/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,11/06/2014 17:27,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,59
116,Telas o pieles impregnadas de residuos peligrosos,SO1,40,Kg,Toxico Inflamable ,Mantenimiento,15/01/2014,23/01/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,11/06/2014 17:28,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,56
117,Sólidos impregnados con sustancias químicas,SO4,60,Kg,Toxico ,Mantenimiento,18/01/2014,23/01/2014,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,11/06/2014 17:29,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,56
118,Sólidos impregnados con sustancias químicas,SO4,10,Kg,Toxico Corrosivo ,Mantenimiento,05/01/2014,23/01/2014,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,56,1,11/06/2014 17:30,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,56
119,Aceites lubricantes usados,RPM/01,100,Kg,Toxico Inflamable ,Mantenimiento,09/01/2014,23/01/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,11/06/2014 17:31,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,56
120,Sólidos impregnados con pintura,SO4,70,Kg,Toxico ,Mantenimiento,11/01/2014,23/01/2014,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,11/06/2014 17:33,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,56
121,Sólidos impregnados con sustancias químicas,SO4,60,Kg,Toxico ,Mantenimiento,16/01/2014,23/01/2014,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,11/06/2014 17:34,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,56
122,Telas o pieles impregnadas de residuos peligrosos,SO1,50,Kg,Toxico Inflamable ,Mantenimiento,01/05/2014,22/05/2014,Formulación de combustibles alternos,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,11/06/2014 17:35,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,80
123,Sólidos impregnados con sustancias químicas,SO4,30,Kg,Toxico ,Mantenimiento,12/05/2014,22/05/2014,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,11/06/2014 17:36,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,80
124,Sólidos impregnados con sustancias químicas,SO4,30,Kg,Toxico ,Mantenimiento,20/05/2014,22/05/2014,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,11/06/2014 17:40,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,80
125,Sustancias corrosivas  álcalis,C2,20,Kg,Toxico ,Mantenimiento,06/05/2014,22/05/2014,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,11/06/2014 17:39,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,80
126,Copelas cont. con plomo,SO5,754,Kg,Toxico ,Laboratorio,12/03/2012,31/03/2012,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 18:19,06-10-PS-I-01-2011,06-09-ll-01-2011,6
127,Copelas cont. con plomo,SO5,608,Kg,Toxico ,Laboratorio,09/04/2012,28/04/2012,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 18:20,06-10-PS-I-01-2011,06-09-ll-01-2011,7
128,Copelas cont. con plomo,SO5,270,Kg,Toxico ,Laboratorio,22/05/2012,09/06/2012,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 18:20,06-10-PS-I-01-2011,06-09-ll-01-2011,9
129,Copelas cont. con plomo,SO5,770,Kg,Toxico ,Laboratorio,28/05/2012,09/06/2012,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 18:20,06-10-PS-I-01-2011,06-09-ll-01-2011,9
130,Copelas cont. con plomo,SO5,770,Kg,Toxico ,Laboratorio,02/07/2012,09/07/2012,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 18:20,06-10-PS-I-01-2011,06-09-ll-01-2011,11
131,Copelas cont. con plomo,SO5,260,Kg,Toxico ,Laboratorio,02/07/2012,09/07/2012,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 18:21,06-10-PS-I-01-2011,06-09-ll-01-2011,11
132,Copelas cont. con plomo,SO5,260,Kg,Toxico ,Laboratorio,21/07/2012,28/07/2012,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 18:21,06-10-PS-I-01-2011,06-09-ll-01-2011,12
133,Copelas cont. con plomo,SO5,550,Kg,Toxico ,Laboratorio,21/07/2012,28/07/2012,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 18:21,06-10-PS-I-01-2011,06-09-ll-01-2011,12
134,Copelas cont. con plomo,SO5,860,Kg,Toxico ,Laboratorio,23/07/2012,01/08/2012,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 18:22,06-10-PS-I-01-2011,06-09-ll-01-2011,14
135,Copelas cont. con plomo,SO5,440,Kg,Toxico ,Laboratorio,15/09/2012,22/09/2012,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 18:22,06-10-PS-I-01-2011,06-09-ll-01-2011,15
136,Copelas cont. con plomo,SO5,590,Kg,Toxico ,Laboratorio,12/10/2012,20/10/2012,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 20:33,06-10-PS-I-01-2011,06-09-ll-01-2011,16
137,Copelas cont. con plomo,SO5,160,Kg,Toxico ,Laboratorio,08/10/2012,12/10/2012,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 20:34,06-10-PS-I-01-2011,06-09-ll-01-2011,16
138,Copelas cont. con plomo,SO5,520,Kg,Toxico ,Laboratorio,10/11/2012,17/11/2012,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 20:36,06-10-PS-I-01-2011,06-09-ll-01-2011,17
139,Copelas cont. con plomo,SO5,260,Kg,Toxico ,Laboratorio,01/11/2012,17/11/2012,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 20:37,06-10-PS-I-01-2011,06-09-ll-01-2011,17
140,Copelas cont. con plomo,SO5,330,Kg,Toxico ,Laboratorio,07/12/2012,14/12/2012,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 20:40,06-10-PS-I-01-2011,06-09-ll-01-2011,19
141,Copelas cont. con plomo,SO5,130,Kg,Toxico ,Laboratorio,04/12/2012,14/12/2012,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 20:41,06-10-PS-I-01-2011,06-09-ll-01-2011,19
142,Copelas cont. con plomo,SO5,570,Kg,Toxico ,Laboratorio,10/01/2013,19/01/2013,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 20:42,06-10-PS-I-01-2011,06-09-ll-01-2011,21
143,Copelas cont. con plomo,SO5,104,Kg,Toxico ,Laboratorio,12/01/2013,19/01/2013,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 20:44,06-10-PS-I-01-2011,06-09-ll-01-2011,21
144,Copelas cont. con plomo,SO5,390,Kg,Toxico ,Laboratorio,08/02/2013,16/02/2013,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 20:45,06-10-PS-I-01-2011,06-09-ll-01-2011,23
145,Copelas cont. con plomo,SO5,464,Kg,Toxico ,Laboratorio,11/04/2013,04/05/2013,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 20:47,06-10-PS-I-01-2011,06-09-ll-01-2011,31
146,Copelas cont. con plomo,SO5,380,Kg,Toxico ,Laboratorio,18/04/2013,04/05/2013,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 20:48,06-10-PS-I-01-2011,06-09-ll-01-2011,31
147,Copelas cont. con plomo,SO5,480,Kg,Toxico ,Laboratorio,06/05/2013,18/05/2013,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 20:51,06-10-PS-I-01-2011,06-09-ll-01-2011,33
148,Copelas cont. con plomo,SO5,190,Kg,Toxico ,Laboratorio,08/06/2013,15/06/2013,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 20:52,06-10-PS-I-01-2011,06-09-ll-01-2011,39
149,Copelas cont. con plomo,SO5,290,Kg,Toxico ,Laboratorio,03/06/2013,15/06/2013,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 20:53,06-10-PS-I-01-2011,06-09-ll-01-2011,39
150,Copelas cont. con plomo,SO5,580,Kg,Toxico ,Mantenimiento,12/07/2013,20/07/2013,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 20:55,06-10-PS-I-01-2011,06-09-ll-01-2011,42
151,Copelas cont. con plomo,SO5,350,Kg,Toxico ,Laboratorio,06/09/2013,20/09/2013,Confinamiento controlado,,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 20:57,,06-09-ll-01-2011,51
152,Copelas cont. con plomo,SO5,473,Kg,Toxico ,Laboratorio,09/10/2013,19/10/2013,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 20:58,06-10-PS-I-01-2011,06-09-ll-01-2011,52
153,Copelas cont. con plomo,SO5,670,Kg,Toxico ,Laboratorio,15/11/2013,23/11/2013,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Felipe Morales Aragón,1,13/06/2014 21:00,06-10-PS-I-01-2011,06-09-ll-01-2011,54
154,Residuos del manejo de la fibra de asbesto puro,NE01,3,Ton,Toxico ,Mantenimiento,22/11/2013,25/11/2013,Confinamiento controlado,Ricardo Díaz Virgen,,Mario Castillo,1,14/06/2014 14:12,06-10-PS-I-01-2011,14-39B-PS-11-43-07,55
155,Copelas cont. con plomo,SO5,200,Kg,Toxico ,Laboratorio,10/12/2013,20/12/2013,Confinamiento controlado,,Ecoltec S.A. de C.V. (acopio),José Antonio Huitrón,1,14/06/2014 14:11,,06-09-ll-01-2011,57
156,Copelas cont. con plomo,SO5,290,Kg,Toxico ,Laboratorio,13/12/2013,20/12/2013,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Antonio Huitrón,1,14/06/2014 14:13,06-10-PS-I-01-2011,06-09-ll-01-2011,57
157,Copelas cont. con plomo,SO5,30,Kg,Toxico ,Laboratorio,10/01/2014,18/01/2014,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Antonio Huitrón,1,14/06/2014 14:15,06-10-PS-I-01-2011,06-09-ll-01-2011,58
158,Copelas cont. con plomo,SO5,430,Kg,Toxico ,Laboratorio,03/01/2014,18/01/2014,Confinamiento controlado,,Ecoltec S.A. de C.V. (acopio),José Antonio Huitrón,1,14/06/2014 14:16,,06-09-ll-01-2011,58
159,Copelas cont. con plomo,SO5,390,Kg,Toxico ,Laboratorio,01/02/2014,15/02/2014,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Antonio Huitrón,1,14/06/2014 14:17,06-10-PS-I-01-2011,06-09-ll-01-2011,61
160,Copelas cont. con plomo,SO5,430,Kg,Toxico ,Laboratorio,06/03/2014,15/03/2014,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Antonio Huitrón,1,14/06/2014 14:19,06-10-PS-I-01-2011,06-09-ll-01-2011,64
161,Copelas cont. con plomo,SO5,540,Kg,Toxico ,Laboratorio,17/04/2014,26/04/2014,Confinamiento controlado,Ricardo Díaz Virgen,Ecoltec S.A. de C.V. (acopio),José Antonio Huitrón,1,14/06/2014 14:20,06-10-PS-I-01-2011,06-09-ll-01-2011,73
162,Aceites lubricantes usados,RPM/01,550,Kg,Toxico Inflamable ,Mantenimiento,03/01/2011,07/01/2011,Formulación de combustibles alternos,Waste Management Industries S.A. de C.V.,Química RIMSA S.A. de C.V.,Jaime Carrillo Ramírez,1,02/07/2014 15:03,06-07-PS-I-03-2010,14-IV-86-10,14
163,Sólidos de mantenimiento automotriz,SO2,260,Kg,Toxico ,Mantenimiento,03/01/2011,07/01/2011,Fundición para reciclado de metales,Waste Management Industries S.A. de C.V.,Química RIMSA S.A. de C.V.,Jaime Carrillo Ramírez,1,02/07/2014 16:27,,,14
164,Aceites lubricantes usados,RPM/01,240,Kg,Toxico Inflamable ,Mantenimiento,12/01/2011,21/01/2011,Formulación de combustibles alternos,Waste Management Industries S.A. de C.V.,Química RIMSA S.A. de C.V.,Jaime Carrillo Ramírez,1,02/07/2014 22:16,06-07-PS-I-03-2010,14-IV-86-10,29
165,Aceites lubricantes usados,RPM/01,200,Kg,Toxico Inflamable ,Mantenimiento,02/05/2011,07/05/2011,Formulación de combustibles alternos,Waste Management Industries S.A. de C.V.,ECO AMERE S.A. de C.V.,Jaime Carrillo Ramírez,1,02/07/2014 23:18,06-07-PS-I-03-2010,14-IV-02-07,132
166,Aceites lubricantes usados,RPM/01,550,Kg,Toxico Inflamable ,Mantenimiento,28/09/2011,05/10/2011,Formulación de combustibles alternos,Servicios Ecológicos de Colima S.A. de C.V.,ECO AMERE S.A. de C.V.,Jaime Carrillo Ramírez,1,02/07/2014 23:40,06-02-PS-I-01-2007,14-IV-02-07,6276
167,Aceites lubricantes usados,RPM/01,400,Kg,Toxico Inflamable ,Mantenimiento,14/11/2011,24/11/2011,Formulación de combustibles alternos,Servicios Ecológicos de Colima S.A. de C.V.,ECO AMERE S.A. de C.V.,Jaime Carrillo Ramírez,1,02/07/2014 23:48,06-02-PS-I-01-2007,14-IV-02-07,6343
168,Aceites lubricantes usados,RPM/01,600,Kg,Toxico Inflamable ,Mantenimiento,03/02/2012,20/02/2012,Formulación de combustibles alternos,Juan Edgardo Romero Denis,Gestión Integral Ambiental de Occidente S.A. de C.V.,Jaime Carrillo Ramírez,1,02/07/2014 23:59,03-03-PS-II-01D-2010,06-07-PS-II-01-2011,8
169,Sólidos impregnados con sustancias químicas,SO4,400,Kg,Toxico Inflamable ,Mantenimiento,03/02/2012,20/02/2012,Formulación de combustibles alternos,Juan Edgardo Romero Denis,Gestión Integral Ambiental de Occidente S.A. de C.V.,Jaime Carrillo Ramírez,1,03/07/2014 00:05,03-03-PS-II-01D-2010,06-07-PS-II-01-2011,8
170,Aceites lubricantes usados,RPM/01,800,Kg,Toxico Inflamable ,Mantenimiento,01/05/2012,08/05/2012,Formulación de combustibles alternos,Juan Edgardo Romero Denis,Gestión Integral Ambiental de Occidente S.A. de C.V.,Miriam Nayeli Jurado Álcaraz,1,03/07/2014 00:08,03-03-PS-II-01D-2010,06-07-PS-II-01-2011,52
171,Sólidos de mantenimiento automotriz,SO2,260,Kg,Toxico ,Mantenimiento,04/05/2012,08/05/2012,Fundición para reciclado de metales,Juan Edgardo Romero Denis,Gestión Integral Ambiental de Occidente S.A. de C.V.,Miriam Nayeli Jurado Álcaraz,1,03/07/2014 00:13,03-03-PS-II-01D-2010,06-07-PS-II-01-2011,52
172,Sólidos impregnados con sustancias químicas,SO4,100,Kg,Toxico Inflamable ,Mantenimiento,03/05/2012,08/05/2012,Formulación de combustibles alternos,Juan Edgardo Romero Denis,Gestión Integral Ambiental de Occidente S.A. de C.V.,Jaime Carrillo Ramírez,1,03/07/2014 00:18,03-03-PS-II-01D-2010,06-07-PS-II-01-2011,52
173,Aceites lubricantes usados,RPM/01,400,Kg,Toxico Inflamable ,Mantenimiento,09/05/2013,13/05/2013,Formulación de combustibles alternos,José Manuel Orozco Sánchez,José Manuel Orozco Sánchez ,Isabel Jawasa G.,1,03/07/2014 00:34,14-120B-PS-I-I04-20123486,14-120B-PS-II-083-2012,3486
174,Sólidos impregnados con sustancias químicas,SO4,40,Kg,Toxico ,Mantenimiento,01/05/2013,13/05/2013,Neutralización,José Manuel Orozco Sánchez,José Manuel Orozco Sánchez ,Isabel Jawasa G.,1,03/07/2014 01:02,14-120B-PS-I-I04-20123486,14-120B-PS-II-083-2012,474
175,Sólidos de mantenimiento automotriz,SO2,400,Kg,Toxico ,Mantenimiento,13/12/2013,23/12/2013,Fundición para reciclado de metales,José Manuel Orozco Sánchez,José Manuel Orozco Sánchez ,Isabel Jawasa G.,1,03/07/2014 01:05,14-120B-PS-I-I04-20123486,14-120B-PS-II-083-2012,840
176,Sólidos impregnados con sustancias químicas,SO4,20,Kg,Toxico ,Mantenimiento,02/05/2013,13/05/2013,Neutralización,José Manuel Orozco Sánchez,José Manuel Orozco Sánchez ,Isabel Jawasa G.,1,03/07/2014 01:07,14-120B-PS-I-I04-20123486,14-120B-PS-II-083-2012,840
177,Aceites lubricantes usados,RPM/01,300,Kg,Toxico Inflamable ,Mantenimiento,10/12/2013,23/12/2013,Formulación de combustibles alternos,José Manuel Orozco Sánchez,José Manuel Orozco Sánchez ,Isabel Jawasa G.,1,03/07/2014 01:09,14-120B-PS-I-I04-20123486,14-120B-PS-II-083-2012,4677
